sz000726,鲁  泰Ａ,12.89
sz000727,华东科技,10.43
sz000728,国元证券,25.18
sz000729,燕京啤酒,8.42
sz000731,四川美丰,10.47
sz000732,泰禾集团,23.82
sz000733,振华科技,26.75
sz000735,罗 牛 山,7.50
sz000736,中房地产,18.60
sz000737,南风化工,6.39
sz000738,中航动控,37.25
sz000739,普洛药业,8.27
sz000748,长城信息,0.00
sz000750,国海证券,13.53
sz000751,锌业股份,6.30
sz000752,西藏发展,16.69
sz000753,漳州发展,6.84
sz000755,山西三维,9.56
sz000756,新华制药,12.52
sz000757,浩物股份,12.02
sz000758,中色股份,15.76
sz000759,中百集团,8.13
sz000760,斯太尔,16.20
sz000761,本钢板材,5.36
sz000762,西藏矿业,27.56
sz000766,通化金马,14.71
sz000767,漳泽电力,6.32
sz000768,中航飞机,27.20
sz000776,广发证券,19.39
sz000777,中核科技,34.93
sz000778,新兴铸管,7.89
sz000779,三毛派神,0.00
sz000780,平庄能源,5.94
sz000782,美达股份,17.67
sz000783,长江证券,12.80
sz000785,武汉中商,14.25
sz000786,北新建材,13.58
sz000788,北大医药,16.00
sz000789,万年青,8.04
sz000790,华神集团,13.80
sz000791,甘肃电投,15.69
sz000792,盐湖股份,23.71
sz000793,华闻传媒,0.00
sz000795,太原刚玉,0.00
sz000796,凯撒旅游,0.00
sz000797,中国武夷,24.49
sz000798,中水渔业,12.92
sz000799,*ST酒鬼,16.84
sz000800,一汽轿车,16.51
sz000801,四川九洲,32.14
sz000802,北京文化,31.11
sz000803,金宇车城,24.52
sz000806,银河生物,30.22
sz000807,云铝股份,5.44
sz000809,铁岭新城,5.68
sz000810,创维数字,0.00
sz000811,烟台冰轮,15.11
sz000812,陕西金叶,0.00
sz000813,天山纺织,0.00
sz000815,*ST美利,25.72
sz000816,智慧农业,8.76
sz000818,方大化工,9.23
sz000819,岳阳兴长,39.28
sz000820,金城股份,19.33
sz000821,京山轻机,16.84
sz000822,山东海化,7.18
sz000823,超声电子,12.20
